order_id,order_date,order_placed_time,day_of_week,city,vendor_id,vendor_name,order_type,driver_id,distance_km,weather_condition,is_peak_hour,order_value_inr,delivery_time_min,is_delayed,is_cancelled,customer_rating
ORD00001,1/3/2026,22:33:00,Saturday,Mumbai,V007,Wok This Way,Grocery,DRV008,2.35,Clear,0,164.02,27.5,0,0,4
ORD00002,2/7/2026,16:01:00,Saturday,Delhi,V006,Tandoori Nights,Food Delivery,DRV014,0.9,Clear,0,370.86,21,0,0,4
ORD00003,4/8/2026,16:56:00,Wednesday,Chennai,V002,Urban Tadka,Food Delivery,DRV001,0.66,Clear,0,374.36,16.1,0,0,5
ORD00004,4/20/2026,22:38:00,Monday,Chennai,V001,Spice Route Kitchen,Food Delivery,DRV037,4.71,Rain,0,1053.9,41.3,0,0,4
ORD00005,3/10/2026,22:50:00,Tuesday,Chennai,V001,Spice Route Kitchen,Food Delivery,DRV060,1.2,Clear,0,258.1,24.7,0,0,4
ORD00006,2/14/2026,15:44:00,Saturday,Delhi,V005,Green Leaf Cafe,Food Delivery,DRV057,5.16,Clear,0,255.03,41.2,0,0,3
ORD00007,6/10/2026,16:47:00,Wednesday,Bengaluru,V004,Curry Express,Food Delivery,DRV041,2.07,Clear,0,510.12,26.2,0,0,4
ORD00008,3/2/2026,22:19:00,Monday,Bengaluru,V010,Bun Intended Burgers,Food Delivery,DRV002,13.26,Clear,0,1031.71,87.6,1,0,3
ORD00009,4/20/2026,15:03:00,Monday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV032,3.64,Clear,0,878.65,36.1,0,0,3
ORD00010,4/24/2026,17:31:00,Friday,Delhi,V005,Green Leaf Cafe,Food Delivery,DRV059,1.53,Rain,0,401.91,18.1,0,0,3
ORD00011,4/27/2026,12:40:00,Monday,Bengaluru,V004,Curry Express,Food Delivery,DRV030,3.99,Clear,1,1010.6,36.7,0,0,4
ORD00012,4/11/2026,21:11:00,Saturday,Mumbai,V012,Dosa Point,Food Delivery,DRV052,2.85,Clear,1,227.7,34.7,0,0,5
ORD00013,4/15/2026,14:55:00,Wednesday,Bengaluru,V004,Curry Express,Grocery,DRV014,2.35,Heavy Traffic Event,0,536.51,19.8,0,0,5
ORD00014,4/8/2026,15:37:00,Wednesday,Chennai,V001,Spice Route Kitchen,Food Delivery,DRV021,3.49,Clear,0,763.38,35.3,0,0,4
ORD00015,2/11/2026,15:33:00,Wednesday,Delhi,V005,Green Leaf Cafe,Pharmacy,DRV029,2.59,Rain,0,668.08,36.1,0,0,3
ORD00016,1/31/2026,16:55:00,Saturday,Chennai,V003,Bowl & Broth,Food Delivery,DRV027,0.65,Clear,0,497.97,14.2,0,0,5
ORD00017,5/7/2026,14:17:00,Thursday,Hyderabad,V009,Sushi Central,Food Delivery,DRV045,3.73,Rain,0,368.67,37.2,0,0,4
ORD00018,4/15/2026,15:39:00,Wednesday,Mumbai,V012,Dosa Point,Food Delivery,DRV043,2.38,Clear,0,282.64,21.8,0,0,5
ORD00019,6/23/2026,15:49:00,Tuesday,Mumbai,V012,Dosa Point,Grocery,DRV042,1.96,Clear,0,533.38,25.4,0,0,5
ORD00020,2/3/2026,11:25:00,Tuesday,Delhi,V005,Green Leaf Cafe,Food Delivery,DRV025,0.54,Clear,0,965.05,13.3,0,0,4
ORD00021,4/29/2026,15:43:00,Wednesday,Mumbai,V007,Wok This Way,Grocery,DRV047,2.78,Clear,0,172.13,24.5,0,0,3
